username,count
root,101506
0,14603
admin,11201
345gs5662d34,9578
ubuntu,9312
user,8245
test,4042
sol,3643
deploy,3440
solana,2430
support,2245
postgres,2106
solv,2034
guest,1854
pi,1838
debian,1784
oracle,1768
user1,1751
claude,1650
ftpuser,1647
minecraft,1616
dev,1609
git,1533
steam,1327
bot,1325
frappe,1315
mysql,1245
deployer,1171
openclaw,1166
testuser,1156
runner,1117
developer,1089
hadoop,1042
appuser,1028
node,1027
server,1004
sam,999
student,977
www,973
teamspeak,962
ftp,962
app,948
admin1,933
administrator,924
username,919
devops,906
nobody,898
alex,872
user2,859
tomcat,856
cloud,798
rdpuser,774
newuser,735
fastuser,729
myuser,721
ec2-user,718
master,713
root1,708
dmdba,705
jenkins,702
tester,697
trader,694
centos,672
operator,669
system,662
es,660
ai,654
ansible,631
test1,626
tom,608
gitlab-runner,600
bob,575
admin2,574
oscar,572
user3,572
default,568
rocky,563
elasticsearch,561
odoo,556
ubnt,555
vncuser,552
fivem,551
gabriel,549
odoo17,543
gitlab,539
nginx,531
david,517
config,510
nexus,507
crafty,506
webuser,489
validator,484
jellyfin,483
sonar,478
elastic,473
azureuser,472
ts3,469
lighthouse,468
docker,458
adminuser,457
kingbase,451
admin123,450
rancher,450
uftp,444
zabbix,443
data,439
trading,435
sftpuser,432
dolphinscheduler,428
jack,427
sysupdate,425
openvpn,416
odoo18,416
media,411
odoo16,410
odoo14,408
home,405
main,395
chris,391
amir,388
splunk,384
plex,377
opc,371
test2,368
labuser,366
esuser,364
dspace,362
ali,357
ethereum,354
demo,345
john,335
core,334
martin,331
apache,329
nagios,320
vagrant,318
aaa,318
vpn,313
devuser,309
backup,307
hduser,303
grid,300
a,299
linux,298
kafka,296
blank,291
asterisk,291
kali,291
airflow,290
ftpuser1,290
user4,287
niaoyun,286
unknown,285
angel,285
packer,283
milad,283
kipt,282
gg,282
user10,280
tactical,279
webmaster,278
wang,278
localhost,276
vbox,276
nvidia,274
gpadmin,267
weblogic,257
firedancer,256
bitrix,254
ts,253
web,253
nutanix,249
systemd,249
aiuser,249
potok,246
eth,236
vyos,235
raydium,234
test3,230
rajvir,223
customer,219
onkar,219
erpnext,219
ossuser,219
coder,216
zimbra,216
ranga,215
wso2,215
trinity,214
playground,214
cursor,213
omm,213
hu,211
zahra,211
gary,211
clawdbot,210
prefect,210
linuxuser,210
rock,210
worker,209
vm,209
mc,208
ducc0x,207
cloud-user,206
cw,202
teste,200
prem,199
flask,194
installer,193
ranger,192
kim,190
botuser,189
erp,188
elk,187
supervisor,186
mcserver,183
daniel,182
gns3,181
usuario,180
kevin,180
x,180
kubernetes,178
gd,177
mohammad,177
amit,177
fred,176
stack,175
bitcoin,175
dani,174
reza,173
arthur,172
agent,171
portal,171
neptune,171
parsa,170
hamed,170
amin,169
ark,168
liyang,168
drcomadmin,167
csgo,167
ghost,167
osmc,166
amine,166
super,166
ivan,165
work,164
sniper,164
private,164
fahmi,163
gateway,163
uploader,163
wizard,162
monitor,160
evm,159
factorio,159
g,157
bin,154
postmaster,154
evmbot,153
sysadmin,149
redhat,148
lucas,148
solr,148
almalinux,146
jito,145
www-data,145
root2,142
jay,139
bernard,138
toto,138
frank,138
btc,136
security,136
lin,133
ethan,132
karel,132
calvin,132
xiao,132
trade,131
ecommerce,131
grok,130
fa,130
ubutnu,129
jakob,129
daemon,127
chenxi,127
redis,126
avax,126
sdadmin,125
manoj,122
amp,122
centreon,119
gpuadmin,118
jamalihassab,118
cowrie,118
term2,118
user6,117
wallet,116
bigdata,115
nova,115
esroot,112
pool,110
n8n,109
mongodb,108
ecs-user,107
samanalid,105
hive,105
1234,105
user7,105
zarghami,104
joel,102
user9,100
squid,99
Admin,99
sshd,98
mobile,98
Guest,95
Debian,95
init,94
binance,92
Test,92
edward,91
mail,91
raaj,90
Config,90
Support,89
Supervisor,89
sammy,88
Centos,88
user5,87
mssql,87
zlm,87
amavis,87
crypto,87
sync,86
huawei,86
lsfadmin,86
Blank,86
kamgareyman,86
nikita,85
vnc,85
Ubnt,85
Nobody,85
lp,85
leonjalfon1,85
user50,85
blockchain,84
user15,84
Root,84
alexandra,84
tools,83
samba,83
User,83
vmadmin,83
jfletcher,83
shahsavandi,83
service,82
leonardo,82
atvm,82
arash,82
registry,82
elsearch,81
man,81
user20,81
esearch,81
50hertz,81
lvuser,81
spy,81
igaldahan,81
mathar,81
aes-admin,81
prs,80
user13,80
sybuts,80
o3-root,80
iliagermansela,80
emqttd,80
flink,79
rebecca,79
Unknown,79
Operator,79
spark,79
op_user,79
games,79
samanali,79
javadpazahr,79
news,79
devmon,79
docubeapp-usr,79
jasdeep,78
gke-a02662ac27ad32de2130,78
debainftp,78
klepetko,78
proxy,78
duzon,78
netdata,78
searxng,78
gitlab-prometheus,78
vmail,77
sangoma,77
rstudio-server,77
issabel,77
irc,77
neo4j,77
veeranarayana,77
fastmail,77
emo,77
